
* * * * * * * *
chekc if chang delay api_vender/boshidiandong_delay
博世电动工具京东自营旗舰店
# 活动时间：2021.03.16 09:05:00 - 2021.04.14 23:59:59

每日签到：2京豆
连续签到10天：8京豆
连续签到20天：66京豆

removed 'log/if_chang_delay_1'
removed 'log/if_chang_delay_2'
removed 'log/if_chang_delay_3'
removed 'log/if_chang_delay_4'

#赵 122294312-396444: sign_res

2021/03/16_12:38:47  2    [已~签~到]
2021/03/17_01:00:03  2    [已~签~到]
2021/03/18_01:00:03  2    [已~签~到]
2021/03/19_01:00:03  2    [已~签~到]
2021/03/20_01:00:38  2    [已~签~到]
2021/03/21_01:00:47  2    [已~签~到]
2021/03/22_01:01:01  2    [已~签~到]
2021/03/23_01:01:15  2    [已~签~到]
2021/03/24_01:00:55  2    [已~签~到]
2021/03/25_00:00:01  2    [已~签~到]
2021/03/26_01:01:38  2    [已~签~到]
2021/03/27_01:01:35  2    [已~签~到]
2021/03/28_01:00:51  2    [已~签~到]
2021/03/29_01:00:03  2    [已~签~到]
2021/03/30_01:00:02  2    [已~签~到]
2021/03/31_01:00:03  2    [已~签~到]
2021/04/01_01:00:02  2    [已~签~到]
2021/04/02_01:00:23  1    [已~签~到]
2021/04/03_00:00:00  3    未签到
2021/04/04_00:00:00  3    未签到
2021/04/05_00:00:00  3    未签到
2021/04/06_00:00:00  3    未签到
2021/04/07_00:00:00  3    未签到
2021/04/08_00:00:00  3    未签到
2021/04/09_00:00:00  3    未签到
2021/04/10_00:00:00  3    未签到
2021/04/11_00:00:00  3    未签到
2021/04/12_00:00:00  3    未签到
2021/04/13_00:00:00  3    未签到
2021/04/14_00:00:00  3    未签到
当天签到奖励 [奖励2,type=4;]
已签到 18 天

#王 1309893722-164885: sign_res

2021/03/16_12:37:10  2    [已~签~到]
2021/03/17_01:00:03  2    [已~签~到]
2021/03/18_01:00:03  2    [已~签~到]
2021/03/19_01:00:03  2    [已~签~到]
2021/03/20_01:00:39  2    [已~签~到]
2021/03/21_01:00:47  2    [已~签~到]
2021/03/22_01:01:01  2    [已~签~到]
2021/03/23_01:01:15  2    [已~签~到]
2021/03/24_01:00:55  2    [已~签~到]
2021/03/25_00:00:03  2    [已~签~到]
2021/03/26_01:01:38  2    [已~签~到]
2021/03/27_01:01:35  2    [已~签~到]
2021/03/28_01:00:51  2    [已~签~到]
2021/03/29_01:00:03  2    [已~签~到]
2021/03/30_01:00:03  2    [已~签~到]
2021/03/31_01:00:05  2    [已~签~到]
2021/04/01_01:00:02  2    [已~签~到]
2021/04/02_01:00:23  1    [已~签~到]
2021/04/03_00:00:00  3    未签到
2021/04/04_00:00:00  3    未签到
2021/04/05_00:00:00  3    未签到
2021/04/06_00:00:00  3    未签到
2021/04/07_00:00:00  3    未签到
2021/04/08_00:00:00  3    未签到
2021/04/09_00:00:00  3    未签到
2021/04/10_00:00:00  3    未签到
2021/04/11_00:00:00  3    未签到
2021/04/12_00:00:00  3    未签到
2021/04/13_00:00:00  3    未签到
2021/04/14_00:00:00  3    未签到
当天签到奖励 [奖励2,type=4;]
已签到 18 天

#肥鹅 jd_4d651d9e48204: sign_res

2021/03/16_12:40:04  2    [已~签~到]
2021/03/17_01:00:23  2    [已~签~到]
2021/03/18_01:00:47  2    [已~签~到]
2021/03/19_01:00:17  2    [已~签~到]
2021/03/20_01:01:04  2    [已~签~到]
2021/03/21_01:01:16  2    [已~签~到]
2021/03/22_01:01:15  2    [已~签~到]
2021/03/23_01:01:59  2    [已~签~到]
2021/03/24_01:01:29  2    [已~签~到]
2021/03/25_00:00:01  2    [已~签~到]
2021/03/26_01:01:47  2    [已~签~到]
2021/03/27_01:01:44  2    [已~签~到]
2021/03/28_01:01:05  2    [已~签~到]
2021/03/29_01:00:52  2    [已~签~到]
2021/03/30_01:00:27  2    [已~签~到]
2021/03/31_01:00:29  2    [已~签~到]
2021/04/01_01:00:16  2    [已~签~到]
2021/04/02_01:00:42  1    [已~签~到]
2021/04/03_00:00:00  3    未签到
2021/04/04_00:00:00  3    未签到
2021/04/05_00:00:00  3    未签到
2021/04/06_00:00:00  3    未签到
2021/04/07_00:00:00  3    未签到
2021/04/08_00:00:00  3    未签到
2021/04/09_00:00:00  3    未签到
2021/04/10_00:00:00  3    未签到
2021/04/11_00:00:00  3    未签到
2021/04/12_00:00:00  3    未签到
2021/04/13_00:00:00  3    未签到
2021/04/14_00:00:00  3    未签到
当天签到奖励 [奖励2,type=4;]
已签到 18 天

#移动 jd_OeTNobRVGiNZ: sign_res

2021/03/16_18:52:22  2    [已~签~到]
2021/03/17_01:00:23  2    [已~签~到]
2021/03/18_01:00:47  2    [已~签~到]
2021/03/19_01:00:17  2    [已~签~到]
2021/03/20_01:01:04  2    [已~签~到]
2021/03/21_01:01:17  2    [已~签~到]
2021/03/22_01:01:15  2    [已~签~到]
2021/03/23_01:01:59  2    [已~签~到]
2021/03/24_01:01:29  2    [已~签~到]
2021/03/25_00:00:02  2    [已~签~到]
2021/03/26_01:01:48  2    [已~签~到]
2021/03/27_01:01:44  2    [已~签~到]
2021/03/28_01:01:06  2    [已~签~到]
2021/03/29_01:00:52  2    [已~签~到]
2021/03/30_01:00:27  2    [已~签~到]
2021/03/31_01:00:29  2    [已~签~到]
2021/04/01_01:00:16  2    [已~签~到]
2021/04/02_01:00:42  1    [已~签~到]
2021/04/03_00:00:00  3    未签到
2021/04/04_00:00:00  3    未签到
2021/04/05_00:00:00  3    未签到
2021/04/06_00:00:00  3    未签到
2021/04/07_00:00:00  3    未签到
2021/04/08_00:00:00  3    未签到
2021/04/09_00:00:00  3    未签到
2021/04/10_00:00:00  3    未签到
2021/04/11_00:00:00  3    未签到
2021/04/12_00:00:00  3    未签到
2021/04/13_00:00:00  3    未签到
2021/04/14_00:00:00  3    未签到
当天签到奖励 []
已签到 18 天

19;#赵 122294312-396444: sign_res
19;#王 1309893722-164885: sign_res
19;#肥鹅 jd_4d651d9e48204: sign_res
19;#移动 jd_OeTNobRVGiNZ: sign_res
show shop/F2FA870C86F2BDC5B11B92A7DC671256/prize/: 0 10 20
明天签到 博世电动工具京东自营旗舰店, 不会获取奖品, 保持文件名 api_vender/boshidiandong_delay 不变.

* * * * * * * *
chekc if chang delay api_vender/chengwu_delay
晟昊图书专营店
# 活动时间：2021.04.01 00:00:00 - 2021.04.30 23:59:59

每日签到：3京豆
连续签到3天：10京豆

removed 'log/if_chang_delay_1'
removed 'log/if_chang_delay_2'
removed 'log/if_chang_delay_3'
removed 'log/if_chang_delay_4'

#肥鹅 jd_4d651d9e48204: sign_res

2021/04/01_07:10:38  2    [已~签~到]
2021/04/02_05:36:02  1    [已~签~到]
2021/04/03_00:00:00  3    未签到
2021/04/04_00:00:00  3    未签到
2021/04/05_00:00:00  3    未签到
2021/04/06_00:00:00  3    未签到
2021/04/07_00:00:00  3    未签到
2021/04/08_00:00:00  3    未签到
2021/04/09_00:00:00  3    未签到
2021/04/10_00:00:00  3    未签到
2021/04/11_00:00:00  3    未签到
2021/04/12_00:00:00  3    未签到
2021/04/13_00:00:00  3    未签到
2021/04/14_00:00:00  3    未签到
2021/04/15_00:00:00  3    未签到
2021/04/16_00:00:00  3    未签到
2021/04/17_00:00:00  3    未签到
2021/04/18_00:00:00  3    未签到
2021/04/19_00:00:00  3    未签到
2021/04/20_00:00:00  3    未签到
2021/04/21_00:00:00  3    未签到
2021/04/22_00:00:00  3    未签到
2021/04/23_00:00:00  3    未签到
2021/04/24_00:00:00  3    未签到
2021/04/25_00:00:00  3    未签到
2021/04/26_00:00:00  3    未签到
2021/04/27_00:00:00  3    未签到
2021/04/28_00:00:00  3    未签到
2021/04/29_00:00:00  3    未签到
2021/04/30_00:00:00  3    未签到
当天签到奖励 []
已签到 2 天

#移动 jd_OeTNobRVGiNZ: sign_res

2021/04/01_21:31:12  2    [已~签~到]
2021/04/02_05:36:02  1    [已~签~到]
2021/04/03_00:00:00  3    未签到
2021/04/04_00:00:00  3    未签到
2021/04/05_00:00:00  3    未签到
2021/04/06_00:00:00  3    未签到
2021/04/07_00:00:00  3    未签到
2021/04/08_00:00:00  3    未签到
2021/04/09_00:00:00  3    未签到
2021/04/10_00:00:00  3    未签到
2021/04/11_00:00:00  3    未签到
2021/04/12_00:00:00  3    未签到
2021/04/13_00:00:00  3    未签到
